createdAt,m,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-04T18:30:13.611Z,C8:F0:9E:29:43:91,0,65.30,-63,28.60,0:2:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:30:13.611Z
2023-06-04T18:35:13.605Z,C8:F0:9E:29:43:91,0,65.30,-63,28.60,0:7:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:35:13.605Z
2023-06-04T18:40:13.604Z,C8:F0:9E:29:43:91,0,65.10,-63,28.60,0:12:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:40:13.604Z
2023-06-04T18:45:13.605Z,C8:F0:9E:29:43:91,0,65.20,-62,28.60,0:17:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:45:13.605Z
2023-06-04T18:50:13.624Z,C8:F0:9E:29:43:91,0,65.20,-64,28.60,0:22:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:50:13.624Z
2023-06-04T18:55:13.630Z,C8:F0:9E:29:43:91,0,65.40,-63,28.60,0:27:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T18:55:13.630Z
2023-06-04T19:00:13.638Z,C8:F0:9E:29:43:91,0,65.30,-65,28.60,0:32:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:00:13.638Z
2023-06-04T19:05:13.623Z,C8:F0:9E:29:43:91,0,65.30,-63,28.60,0:37:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:05:13.623Z
2023-06-04T19:10:13.633Z,C8:F0:9E:29:43:91,0,65.40,-63,28.60,0:42:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:10:13.633Z
2023-06-04T19:15:13.624Z,C8:F0:9E:29:43:91,0,65.20,-63,28.60,0:47:14 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:15:13.624Z
2023-06-04T19:20:13.637Z,C8:F0:9E:29:43:91,0,65.00,-63,28.60,0:52:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:20:13.637Z
2023-06-04T19:25:13.624Z,C8:F0:9E:29:43:91,0,65.20,-62,28.60,0:57:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:25:13.624Z
2023-06-04T19:30:13.633Z,C8:F0:9E:29:43:91,0,65.10,-63,28.60,1:2:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:30:13.633Z
2023-06-04T19:35:13.623Z,C8:F0:9E:29:43:91,0,65.20,-63,28.50,1:7:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:35:13.623Z
2023-06-04T19:40:13.633Z,C8:F0:9E:29:43:91,0,65.10,-64,28.60,1:12:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:40:13.633Z
2023-06-04T19:45:13.635Z,C8:F0:9E:29:43:91,0,65.30,-63,28.60,1:17:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:45:13.635Z
2023-06-04T19:50:13.625Z,C8:F0:9E:29:43:91,0,65.10,-63,28.60,1:22:15 Mon 5 Jun 2023,C8:F0:9E:29:43:91,online,,p,2023-06-04T19:50:13.625Z
