createdAt,m,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-04T18:34:52.607Z,C8:F0:9E:29:3C:15,0,58.50,-56,29.30,0:7:20 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:34:52.607Z
2023-06-04T18:39:52.625Z,C8:F0:9E:29:3C:15,0,58.70,-55,29.30,0:12:20 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:39:52.625Z
2023-06-04T18:44:52.605Z,C8:F0:9E:29:3C:15,0,58.50,-55,29.30,0:17:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:44:52.605Z
2023-06-04T18:49:52.605Z,C8:F0:9E:29:3C:15,0,58.70,-55,29.30,0:22:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:49:52.605Z
2023-06-04T18:54:52.624Z,C8:F0:9E:29:3C:15,0,58.80,-56,29.30,0:27:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:54:52.624Z
2023-06-04T18:59:52.592Z,C8:F0:9E:29:3C:15,0,58.70,-56,29.30,0:32:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T18:59:52.592Z
2023-06-04T19:04:52.598Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.30,0:37:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:04:52.598Z
2023-06-04T19:09:52.598Z,C8:F0:9E:29:3C:15,0,58.70,-54,29.30,0:42:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:09:52.598Z
2023-06-04T19:14:52.606Z,C8:F0:9E:29:3C:15,0,58.80,-56,29.30,0:47:21 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:14:52.606Z
2023-06-04T19:20:02.763Z,C8:F0:9E:29:3C:15,0,58.70,-55,29.20,0:52:32 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T19:20:02.763Z
2023-06-04T19:24:52.606Z,C8:F0:9E:29:3C:15,0,58.70,-56,29.20,0:57:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:24:52.606Z
2023-06-04T19:29:52.607Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.20,1:2:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:29:52.607Z
2023-06-04T19:31:59.143Z,C8:F0:9E:29:3C:15,0,58.50,-56,29.20,1:4:28 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T19:31:59.143Z
2023-06-04T19:34:52.606Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.30,1:7:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:34:52.606Z
2023-06-04T19:39:52.597Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.30,1:12:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:39:52.597Z
2023-06-04T19:44:52.646Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.30,1:17:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:44:52.646Z
2023-06-04T19:49:52.612Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.20,1:22:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:49:52.612Z
2023-06-04T19:54:52.605Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.20,1:27:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:54:52.605Z
2023-06-04T19:59:52.628Z,C8:F0:9E:29:3C:15,0,58.70,-55,29.20,1:32:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T19:59:52.628Z
2023-06-04T20:04:52.635Z,C8:F0:9E:29:3C:15,0,58.60,-54,29.30,1:37:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:04:52.635Z
2023-06-04T20:09:52.632Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.30,1:42:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:09:52.632Z
2023-06-04T20:14:52.645Z,C8:F0:9E:29:3C:15,0,58.50,-55,29.20,1:47:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:14:52.645Z
2023-06-04T20:19:52.646Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.30,1:52:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:19:52.646Z
2023-06-04T20:24:52.625Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.30,1:57:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:24:52.625Z
2023-06-04T20:33:51.079Z,C8:F0:9E:29:3C:15,0,58.60,-56,29.20,2:6:22 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T20:33:51.079Z
2023-06-04T20:34:52.644Z,C8:F0:9E:29:3C:15,0,58.50,-54,29.20,2:7:23 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:34:52.644Z
2023-06-04T20:36:59.487Z,C8:F0:9E:29:3C:15,0,58.60,-55,29.20,2:9:30 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T20:36:59.487Z
2023-06-04T20:39:52.631Z,C8:F0:9E:29:3C:15,0,58.70,-55,29.30,2:12:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:39:52.631Z
2023-06-04T20:44:52.666Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.20,2:17:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:44:52.666Z
2023-06-04T20:49:52.635Z,C8:F0:9E:29:3C:15,0,58.60,-55,29.20,2:22:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:49:52.635Z
2023-06-04T20:54:52.629Z,C8:F0:9E:29:3C:15,0,58.50,-56,29.20,2:27:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:54:52.629Z
2023-06-04T20:59:52.629Z,C8:F0:9E:29:3C:15,0,58.50,-55,29.30,2:32:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T20:59:52.629Z
2023-06-04T21:04:52.631Z,C8:F0:9E:29:3C:15,0,58.50,-56,29.20,2:37:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:04:52.631Z
2023-06-04T21:09:52.619Z,C8:F0:9E:29:3C:15,0,58.50,-54,29.20,2:42:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:09:52.619Z
2023-06-04T21:14:52.618Z,C8:F0:9E:29:3C:15,0,58.50,-55,29.20,2:47:24 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:14:52.618Z
2023-06-04T21:19:31.911Z,C8:F0:9E:29:3C:15,0,58.40,-54,29.20,2:52:4 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T21:19:31.911Z
2023-06-04T21:19:52.620Z,C8:F0:9E:29:3C:15,0,58.50,-56,29.20,2:52:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:19:52.620Z
2023-06-04T21:24:52.647Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.20,2:57:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:24:52.647Z
2023-06-04T21:29:52.668Z,C8:F0:9E:29:3C:15,0,58.40,-55,29.20,3:2:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:29:52.668Z
2023-06-04T21:35:02.663Z,C8:F0:9E:29:3C:15,0,58.30,-56,29.20,3:7:35 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T21:35:02.663Z
2023-06-04T21:39:52.650Z,C8:F0:9E:29:3C:15,0,58.20,-55,29.30,3:12:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:39:52.650Z
2023-06-04T21:43:30.465Z,C8:F0:9E:29:3C:15,0,58.50,-55,29.20,3:16:3 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T21:43:30.465Z
2023-06-04T21:44:52.657Z,C8:F0:9E:29:3C:15,0,58.10,-56,29.20,3:17:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:44:52.657Z
2023-06-04T21:46:00.182Z,C8:F0:9E:29:3C:15,0,58.10,-55,29.20,3:18:33 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,,COOLIX+NONE,do,2023-06-04T21:46:00.182Z
2023-06-04T21:49:52.647Z,C8:F0:9E:29:3C:15,0,58.20,-55,29.20,3:22:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:49:52.647Z
2023-06-04T21:54:52.643Z,C8:F0:9E:29:3C:15,0,58.10,-56,29.20,3:27:25 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:54:52.643Z
2023-06-04T21:59:52.650Z,C8:F0:9E:29:3C:15,0,58.00,-56,29.20,3:32:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T21:59:52.650Z
2023-06-04T22:04:52.644Z,C8:F0:9E:29:3C:15,0,58.10,-55,29.20,3:37:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:04:52.644Z
2023-06-04T22:09:52.650Z,C8:F0:9E:29:3C:15,0,58.00,-56,29.30,3:42:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:09:52.650Z
2023-06-04T22:14:52.645Z,C8:F0:9E:29:3C:15,0,58.00,-56,29.20,3:47:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:14:52.645Z
2023-06-04T22:19:52.647Z,C8:F0:9E:29:3C:15,0,57.90,-55,29.20,3:52:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:19:52.647Z
2023-06-04T22:24:52.657Z,C8:F0:9E:29:3C:15,0,57.90,-56,29.20,3:57:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:24:52.657Z
2023-06-04T22:29:52.645Z,C8:F0:9E:29:3C:15,0,57.90,-56,29.20,4:2:26 Mon 5 Jun 2023,C8:F0:9E:29:3C:15,online,,p,2023-06-04T22:29:52.645Z
