createdAt,m,pVal.createdAt,pVal.updatedAt,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-07T05:09:14.485Z,C8:F0:9E:28:00:CD,,,0,48.40,-53,24.00,10:39:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:09:14.485Z
2023-06-07T05:14:14.484Z,C8:F0:9E:28:00:CD,,,0,48.40,-54,24.00,10:44:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:14:14.484Z
2023-06-07T05:19:14.482Z,C8:F0:9E:28:00:CD,,,0,48.00,-52,24.00,10:49:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:19:14.482Z
2023-06-07T05:24:14.482Z,C8:F0:9E:28:00:CD,,,0,47.90,-58,24.20,10:54:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:24:14.482Z
2023-06-07T05:29:14.484Z,C8:F0:9E:28:00:CD,,,0,47.60,-56,24.20,10:59:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:29:14.484Z
2023-06-07T05:34:14.476Z,C8:F0:9E:28:00:CD,,,0,47.70,-61,24.00,11:4:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:34:14.476Z
2023-06-07T05:39:14.486Z,C8:F0:9E:28:00:CD,,,0,47.90,-49,24.10,11:9:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:39:14.486Z
2023-06-07T05:44:14.503Z,C8:F0:9E:28:00:CD,,,0,48.10,-56,24.00,11:14:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:44:14.503Z
2023-06-07T05:49:14.493Z,C8:F0:9E:28:00:CD,,,0,47.40,-55,24.20,11:19:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:49:14.493Z
2023-06-07T05:49:57.341Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:49:57.337Z,,,,,11:19:56 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:49:57.341Z
2023-06-07T05:49:58.579Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:49:58.575Z,,,,,11:19:57 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:49:58.579Z
2023-06-07T05:50:00.218Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:50:00.214Z,,,,,11:19:59 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:50:00.218Z
2023-06-07T05:50:09.361Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:50:09.357Z,,,,,11:20:8 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:50:09.361Z
2023-06-07T05:50:10.362Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:50:10.358Z,,,,,11:20:9 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:50:10.362Z
2023-06-07T05:50:12.107Z,C8:F0:9E:28:00:CD,2022-12-27T04:08:45.731Z,2023-06-07T05:50:12.103Z,,,,,11:20:11 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,,,m,2023-06-07T05:50:12.107Z
2023-06-07T05:54:14.494Z,C8:F0:9E:28:00:CD,,,0,47.70,-52,24.20,11:24:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:54:14.494Z
2023-06-07T05:59:14.495Z,C8:F0:9E:28:00:CD,,,0,47.90,-53,24.40,11:29:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T05:59:14.495Z
2023-06-07T06:04:14.594Z,C8:F0:9E:28:00:CD,,,0,47.40,-53,24.50,11:34:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T06:04:14.594Z
2023-06-07T06:09:14.517Z,C8:F0:9E:28:00:CD,,,0,47.20,-52,24.40,11:39:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T06:09:14.517Z
2023-06-07T06:14:14.499Z,C8:F0:9E:28:00:CD,,,0,47.10,-52,24.40,11:44:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T06:14:14.499Z
2023-06-07T06:19:14.504Z,C8:F0:9E:28:00:CD,,,0,48.00,-54,24.20,11:49:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T06:19:14.504Z
2023-06-07T06:24:14.506Z,C8:F0:9E:28:00:CD,,,0,47.80,-54,24.00,11:54:13 Wed 7 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-07T06:24:14.506Z
